Reason,Year 2018
Abandoned Bicycle,673
Administrative & General Requests,876
Alert Boston,29
Billing,4
Bridge Maintenance,1
Building,4022
Catchbasin,339
Cemetery,12
Code Enforcement,14983
Current Events,7
Employee & General Comments,1572
Enforcement & Abandoned Vehicles,22293
Environmental Services,1770
Fire Hydrant,137
General Request,59
Graffiti,1779
Health,620
Highway Maintenance,15212
Housing,3607
MBTA,
Notification,340
Office of The Parking Clerk,6
Operations,190
Park Maintenance & Safety,3190
Parking Complaints,5
Pothole,29
Programs,28
Recycling,4285
Sanitation,15196
Sidewalk Cover / Manhole,177
Signs & Signals,7865
Street Cleaning,18311
Street Lights,5156
Traffic Management & Engineering,431
Trees,4634
Valet,4
Volunteer & Corporate Groups,
Water Issues,
Weights and Measures,32
Air Pollution Control,29
Animal Issues,1476
Boston Bikes,33
Consumer Affairs Issues,19
Fire Department,9
Generic Noise Disturbance,47
Massport,9
Needle Program,2276
Neighborhood Services Issues,15
Noise Disturbance,108
